				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
如雷	精采	獎勵	掌聲	0.534	0.434	0.291	0.363	0.242	0.156	0.156
拍手	精采	熱情	掌聲	0.533	0.377	0.291	0.366	0.214	0.126	0.163
拍手	如雷	喜悅	掌聲	0.531	0.377	0.434	0.359	0.243	0.227	0.17
表演	榮譽	如雷	掌聲	0.529	0.32	0.378	0.434	0.226	0.219	0.159
榮耀	觀眾	精采	掌聲	0.523	0.309	0.452	0.291	0.219	0.144	0.166
拍手	熱烈	藝人	掌聲	0.522	0.377	0.493	0.253	0.249	0.169	0.183
拍手	精采	獎勵	掌聲	0.52	0.377	0.291	0.363	0.214	0.141	0.156
拍手	榮耀	精采	掌聲	0.516	0.377	0.309	0.291	0.104	0.214	0.144
表演	如雷	獎勵	掌聲	0.513	0.32	0.434	0.363	0.219	0.23	0.156
響亮	唱歌	結束	掌聲	0.512	0.47	0.282	0.345	0.211	0.223	0.152
表演	響亮	結束	掌聲	0.511	0.32	0.47	0.345	0.156	0.244	0.223
舞台	響亮	結束	掌聲	0.511	0.285	0.47	0.345	0.187	0.179	0.223
鼓勵	拍手	榮耀	掌聲	0.509	0.35	0.377	0.309	0.22	0.204	0.104
拍手	結束	藝人	掌聲	0.508	0.377	0.345	0.253	0.143	0.169	0.156
肯定	榮耀	觀眾	掌聲	0.505	0.259	0.309	0.452	0.127	0.17	0.219
響亮	結束	藝人	掌聲	0.504	0.47	0.345	0.253	0.223	0.186	0.156
拍手	響亮	藝人	掌聲	0.503	0.377	0.47	0.253	0.242	0.169	0.186
唱歌	如雷	熱情	掌聲	0.502	0.282	0.434	0.366	0.209	0.232	0.139
拍手	舞台	如雷	掌聲	0.502	0.377	0.285	0.434	0.213	0.243	0.139
拍手	舞台	獎勵	掌聲	0.5	0.377	0.285	0.363	0.213	0.141	0.171
響亮	精采	藝人	掌聲	0.5	0.47	0.291	0.253	0.229	0.186	0.1
榮譽	唱歌	精采	掌聲	0.498	0.378	0.282	0.291	0.133	0.112	0.209
觀眾	精采	喜悅	掌聲	0.497	0.452	0.291	0.359	0.166	0.227	0.212
表演	如雷	結束	掌聲	0.491	0.32	0.434	0.345	0.219	0.244	0.145
拍手	舞台	響亮	掌聲	0.491	0.377	0.285	0.47	0.213	0.242	0.187
榮譽	唱歌	結束	掌聲	0.49	0.378	0.282	0.345	0.133	0.231	0.152
唱歌	如雷	喜悅	掌聲	0.485	0.282	0.434	0.359	0.209	0.211	0.17
如雷	精采	歡迎	掌聲	0.483	0.434	0.291	0.364	0.242	0.154	0.21
肯定	如雷	藝人	掌聲	0.482	0.259	0.434	0.253	0.23	0.137	0.099
拍手	舞台	歡迎	掌聲	0.482	0.377	0.285	0.364	0.213	0.195	0.137
鼓勵	榮耀	精采	掌聲	0.476	0.35	0.309	0.291	0.204	0.127	0.144
觀眾	精采	結束	掌聲	0.476	0.452	0.291	0.345	0.166	0.237	0.21
拍手	舞台	榮耀	掌聲	0.475	0.377	0.285	0.309	0.213	0.104	0.18
如雷	精采	結束	掌聲	0.473	0.434	0.291	0.345	0.242	0.145	0.21
拍手	舞台	結束	掌聲	0.473	0.377	0.285	0.345	0.213	0.143	0.179
拍手	舞台	喜悅	掌聲	0.469	0.377	0.285	0.359	0.213	0.227	0.113
肯定	如雷	熱情	掌聲	0.465	0.259	0.434	0.366	0.23	0.226	0.139
拍手	熱情	藝人	掌聲	0.465	0.377	0.366	0.253	0.126	0.169	0.237
拍手	舞台	榮譽	掌聲	0.464	0.377	0.285	0.378	0.213	0.139	0.225
榮譽	精采	結束	掌聲	0.463	0.378	0.291	0.345	0.112	0.231	0.21
如雷	精采	喜悅	掌聲	0.46	0.434	0.291	0.359	0.242	0.17	0.212
榮譽	觀眾	結束	掌聲	0.46	0.378	0.452	0.345	0.248	0.231	0.237
舞台	肯定	快樂	掌聲	0.46	0.285	0.259	0.346	0.187	0.14	0.104
鼓勵	拍手	精采	掌聲	0.458	0.35	0.377	0.291	0.22	0.127	0.214
拍手	響亮	精采	掌聲	0.454	0.377	0.47	0.291	0.242	0.214	0.229
拍手	精采	結束	掌聲	0.448	0.377	0.291	0.345	0.214	0.143	0.21
響亮	精采	結束	掌聲	0.445	0.47	0.291	0.345	0.229	0.223	0.21
肯定	觀眾	喜悅	掌聲	0.444	0.259	0.452	0.359	0.17	0.23	0.227
拍手	舞台	快樂	掌聲	0.443	0.377	0.285	0.346	0.213	0.213	0.14
觀眾	快樂	精采	掌聲	0.441	0.452	0.346	0.291	0.246	0.166	0.236
鼓勵	表演	榮耀	掌聲	0.441	0.35	0.32	0.309	0.157	0.204	0.178
拍手	精采	藝人	掌聲	0.439	0.377	0.291	0.253	0.214	0.169	0.1
肯定	榮譽	如雷	掌聲	0.438	0.259	0.378	0.434	0.245	0.23	0.159
鼓勵	拍手	舞台	掌聲	0.434	0.35	0.377	0.285	0.22	0.146	0.213
榮耀	觀眾	結束	掌聲	0.433	0.309	0.452	0.345	0.219	0.218	0.237
拍手	喜悅	藝人	掌聲	0.431	0.377	0.359	0.253	0.227	0.169	0.162
精采	喜悅	藝人	掌聲	0.429	0.291	0.359	0.253	0.212	0.1	0.162
肯定	榮譽	觀眾	掌聲	0.426	0.259	0.378	0.452	0.245	0.17	0.248
精采	結束	藝人	掌聲	0.424	0.291	0.345	0.253	0.21	0.1	0.156
舞台	肯定	如雷	掌聲	0.423	0.285	0.259	0.434	0.187	0.139	0.23
肯定	如雷	喜悅	掌聲	0.423	0.259	0.434	0.359	0.23	0.23	0.17
表演	肯定	快樂	掌聲	0.421	0.32	0.259	0.346	0.244	0.157	0.104
肯定	響亮	藝人	掌聲	0.42	0.259	0.47	0.253	0.24	0.137	0.186
鼓勵	舞台	榮耀	掌聲	0.415	0.35	0.285	0.309	0.146	0.204	0.18
拍手	精采	歡迎	掌聲	0.414	0.377	0.291	0.364	0.214	0.195	0.21
唱歌	精采	獎勵	掌聲	0.412	0.282	0.291	0.363	0.209	0.159	0.156
精采	熱情	藝人	掌聲	0.41	0.291	0.366	0.253	0.163	0.1	0.237
表演	肯定	響亮	掌聲	0.409	0.32	0.259	0.47	0.244	0.156	0.24
榮耀	唱歌	結束	掌聲	0.406	0.309	0.282	0.345	0.162	0.218	0.152
拍手	如雷	精采	掌聲	0.404	0.377	0.434	0.291	0.243	0.214	0.242
舞台	肯定	響亮	掌聲	0.4	0.285	0.259	0.47	0.187	0.187	0.24
響亮	唱歌	精采	掌聲	0.394	0.47	0.282	0.291	0.211	0.229	0.209
肯定	快樂	藝人	掌聲	0.391	0.259	0.346	0.253	0.104	0.137	0.227
鼓勵	唱歌	精采	掌聲	0.381	0.35	0.282	0.291	0.206	0.127	0.209
拍手	精采	喜悅	掌聲	0.375	0.377	0.291	0.359	0.214	0.227	0.212
榮耀	精采	結束	掌聲	0.375	0.309	0.291	0.345	0.144	0.218	0.21
舞台	肯定	喜悅	掌聲	0.374	0.285	0.259	0.359	0.187	0.113	0.23
舞台	榮譽	結束	掌聲	0.374	0.285	0.378	0.345	0.225	0.179	0.231
舞台	肯定	熱情	掌聲	0.371	0.285	0.259	0.366	0.187	0.127	0.226
鼓勵	榮耀	唱歌	掌聲	0.369	0.35	0.309	0.282	0.204	0.206	0.162
拍手	快樂	藝人	掌聲	0.368	0.377	0.346	0.253	0.213	0.169	0.227
榮耀	唱歌	精采	掌聲	0.368	0.309	0.282	0.291	0.162	0.144	0.209
舞台	榮耀	結束	掌聲	0.363	0.285	0.309	0.345	0.18	0.179	0.218
舞台	肯定	榮耀	掌聲	0.36	0.285	0.259	0.309	0.187	0.18	0.127
唱歌	精采	歡迎	掌聲	0.359	0.282	0.291	0.364	0.209	0.16	0.21
拍手	快樂	精采	掌聲	0.353	0.377	0.346	0.291	0.213	0.214	0.236
唱歌	精采	結束	掌聲	0.348	0.282	0.291	0.345	0.209	0.152	0.21
唱歌	如雷	精采	掌聲	0.347	0.282	0.434	0.291	0.209	0.209	0.242
肯定	喜悅	藝人	掌聲	0.343	0.259	0.359	0.253	0.23	0.137	0.162
肯定	榮耀	唱歌	掌聲	0.343	0.259	0.309	0.282	0.127	0.219	0.162
表演	榮譽	結束	掌聲	0.342	0.32	0.378	0.345	0.226	0.244	0.231
肯定	響亮	唱歌	掌聲	0.341	0.259	0.47	0.282	0.24	0.219	0.211
表演	肯定	榮耀	掌聲	0.34	0.32	0.259	0.309	0.244	0.178	0.127
唱歌	精采	熱情	掌聲	0.336	0.282	0.291	0.366	0.209	0.232	0.163
表演	榮耀	結束	掌聲	0.335	0.32	0.309	0.345	0.178	0.244	0.218
快樂	精采	藝人	掌聲	0.327	0.346	0.291	0.253	0.236	0.227	0.1
肯定	榮譽	唱歌	掌聲	0.322	0.259	0.378	0.282	0.245	0.219	0.133
表演	肯定	如雷	掌聲	0.321	0.32	0.259	0.434	0.244	0.219	0.23
肯定	唱歌	如雷	掌聲	0.318	0.259	0.282	0.434	0.219	0.23	0.209
唱歌	精采	喜悅	掌聲	0.3	0.282	0.291	0.359	0.209	0.211	0.212
表演	肯定	喜悅	掌聲	0.296	0.32	0.259	0.359	0.244	0.168	0.23
表演	肯定	熱情	掌聲	0.28	0.32	0.259	0.366	0.244	0.195	0.226
肯定	熱情	藝人	掌聲	0.278	0.259	0.366	0.253	0.226	0.137	0.237
舞台	肯定	榮譽	掌聲	0.266	0.285	0.259	0.378	0.187	0.225	0.245
表演	肯定	榮譽	掌聲	0.243	0.32	0.259	0.378	0.244	0.226	0.245
肯定	唱歌	喜悅	掌聲	0.24	0.259	0.282	0.359	0.219	0.23	0.211
肯定	唱歌	熱情	掌聲	0.23	0.259	0.282	0.366	0.219	0.226	0.232
