				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
獎盃	肯定	落選	得獎	0.667	0.444	0.31	0.47	0.137	0.204	0.216
肯定	落選	獎杯	得獎	0.667	0.31	0.47	0.444	0.216	0.137	0.204
獎金	肯定	落選	得獎	0.622	0.467	0.31	0.47	0.165	0.245	0.216
快樂	肯定	名單	得獎	0.619	0.324	0.31	0.495	0.104	0.246	0.159
快樂	肯定	落選	得獎	0.611	0.324	0.31	0.47	0.104	0.173	0.216
喜悅	肯定	名單	得獎	0.541	0.336	0.31	0.495	0.23	0.21	0.159
榮耀	肯定	落選	得獎	0.527	0.306	0.31	0.47	0.127	0.216	0.216
肯定	勝利	名單	得獎	0.503	0.31	0.316	0.495	0.234	0.159	0.224
