				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
香蕉	臉頰	紐約	蘋果	0.505	0.396	0.336	0.364	0.171	0.176	0.244
水果	牛頓	樹	蘋果	0.505	0.433	0.403	0.333	0.216	0.234	0.215
香甜	紐約	樹	蘋果	0.503	0.252	0.364	0.333	0.112	0.13	0.205
蟲	香甜	紐約	蘋果	0.502	0.309	0.252	0.364	0.185	0.126	0.112
夏娃	臉	紐約	蘋果	0.5	0.269	0.344	0.364	0.11	0.147	0.22
牛奶	華盛頓	樹	蘋果	0.499	0.314	0.331	0.333	0.134	0.161	0.185
牛頓	香蕉	臉頰	蘋果	0.498	0.403	0.396	0.336	0.248	0.218	0.171
水果	牛頓	紅色	蘋果	0.498	0.433	0.403	0.303	0.216	0.208	0.218
西瓜	紐約	樹	蘋果	0.496	0.321	0.364	0.333	0.127	0.19	0.205
香蕉	紐約	樹	蘋果	0.496	0.396	0.364	0.333	0.176	0.217	0.205
水果	華盛頓	樹	蘋果	0.496	0.433	0.331	0.333	0.183	0.234	0.185
臉	香甜	華盛頓	蘋果	0.496	0.344	0.252	0.331	0.155	0.115	0.162
牛頓	西瓜	樂園	蘋果	0.496	0.403	0.321	0.387	0.228	0.213	0.174
牛頓	香甜	紅	蘋果	0.496	0.403	0.252	0.412	0.165	0.246	0.162
減肥	香甜	紐約	蘋果	0.495	0.373	0.252	0.364	0.185	0.197	0.112
牛頓	香蕉	樂園	蘋果	0.495	0.403	0.396	0.387	0.248	0.213	0.23
芭樂	牛奶	華盛頓	蘋果	0.493	0.41	0.314	0.331	0.242	0.186	0.134
營養	蟲	梨子	蘋果	0.492	0.343	0.309	0.423	0.229	0.148	0.205
蟲	鮮豔	紐約	蘋果	0.492	0.309	0.328	0.364	0.197	0.126	0.186
牛頓	果汁	樹	蘋果	0.491	0.403	0.325	0.333	0.212	0.215	0.144
西瓜	臉	紐約	蘋果	0.49	0.321	0.344	0.364	0.191	0.127	0.22
牛奶	紐約	樹	蘋果	0.49	0.314	0.364	0.333	0.156	0.161	0.205
紅色	蟲	芭樂	蘋果	0.49	0.303	0.309	0.41	0.208	0.173	0.151
牛奶	樂園	華盛頓	蘋果	0.489	0.314	0.387	0.331	0.239	0.134	0.17
牛頓	樂園	香甜	蘋果	0.489	0.403	0.387	0.252	0.213	0.165	0.176
牛頓	香蕉	鮮豔	蘋果	0.487	0.403	0.396	0.328	0.248	0.173	0.22
夏娃	香甜	紅	蘋果	0.484	0.269	0.252	0.412	0.199	0.088	0.162
牛頓	果汁	臉	蘋果	0.482	0.403	0.325	0.344	0.212	0.216	0.161
牛頓	西瓜	鮮豔	蘋果	0.482	0.403	0.321	0.328	0.228	0.173	0.17
牛頓	營養	西瓜	蘋果	0.482	0.403	0.343	0.321	0.17	0.228	0.187
蟲	牛奶	紐約	蘋果	0.482	0.309	0.314	0.364	0.223	0.126	0.156
蟲	臉頰	華盛頓	蘋果	0.48	0.309	0.336	0.331	0.17	0.132	0.193
牛奶	紅	華盛頓	蘋果	0.48	0.314	0.412	0.331	0.224	0.134	0.219
牛頓	香蕉	紅	蘋果	0.48	0.403	0.396	0.412	0.248	0.246	0.239
牛頓	香甜	樹	蘋果	0.479	0.403	0.252	0.333	0.165	0.215	0.13
牛頓	營養	香蕉	蘋果	0.479	0.403	0.343	0.396	0.17	0.248	0.245
牛頓	蟲	鮮豔	蘋果	0.477	0.403	0.309	0.328	0.194	0.173	0.197
臉	香甜	紐約	蘋果	0.473	0.344	0.252	0.364	0.155	0.22	0.112
牛奶	樂園	紐約	蘋果	0.472	0.314	0.387	0.364	0.239	0.156	0.198
蟲	芭樂	鮮豔	蘋果	0.471	0.309	0.41	0.328	0.151	0.197	0.227
夏娃	臉頰	華盛頓	蘋果	0.471	0.269	0.336	0.331	0.164	0.108	0.193
夏娃	樂園	華盛頓	蘋果	0.469	0.269	0.387	0.331	0.24	0.108	0.17
西瓜	臉頰	紐約	蘋果	0.469	0.321	0.336	0.364	0.18	0.127	0.244
營養	西瓜	紐約	蘋果	0.468	0.343	0.321	0.364	0.187	0.245	0.127
蟲	臉頰	紐約	蘋果	0.468	0.309	0.336	0.364	0.17	0.126	0.244
牛頓	蟲	臉頰	蘋果	0.466	0.403	0.309	0.336	0.194	0.218	0.17
蟲	牛奶	華盛頓	蘋果	0.465	0.309	0.314	0.331	0.223	0.132	0.134
臉	牛奶	紐約	蘋果	0.464	0.344	0.314	0.364	0.182	0.22	0.156
牛頓	果汁	蟲	蘋果	0.464	0.403	0.325	0.309	0.212	0.194	0.167
牛頓	臉	香甜	蘋果	0.463	0.403	0.344	0.252	0.216	0.165	0.155
樂園	香甜	華盛頓	蘋果	0.462	0.387	0.252	0.331	0.176	0.17	0.162
牛頓	營養	蟲	蘋果	0.461	0.403	0.343	0.309	0.17	0.194	0.229
芭樂	鮮豔	華盛頓	蘋果	0.461	0.41	0.328	0.331	0.227	0.186	0.195
香蕉	蟲	臉頰	蘋果	0.459	0.396	0.309	0.336	0.24	0.171	0.17
