				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
健身	血液	組織	肌肉	0.479	0.44	0.397	0.27	0.205	0.181	0.243
結實	舉重	抽筋	肌肉	0.478	0.316	0.356	0.417	0.217	0.147	0.247
訓練	健康	抽筋	肌肉	0.473	0.393	0.292	0.417	0.214	0.246	0.169
發達	健身	骨頭	肌肉	0.469	0.334	0.44	0.368	0.246	0.232	0.196
發達	血液	舉重	肌肉	0.463	0.334	0.397	0.356	0.193	0.206	0.226
健身	鬆弛	受傷	肌肉	0.457	0.44	0.435	0.254	0.222	0.202	0.249
發達	健身房	受傷	肌肉	0.455	0.334	0.462	0.254	0.177	0.209	0.21
健康	抽筋	組織	肌肉	0.455	0.292	0.417	0.27	0.169	0.241	0.114
發達	血液	受傷	肌肉	0.453	0.334	0.397	0.254	0.193	0.209	0.131
力量	收縮	骨頭	肌肉	0.442	0.388	0.33	0.368	0.229	0.183	0.232
運動	發達	血液	肌肉	0.439	0.348	0.334	0.397	0.218	0.23	0.193
收縮	舉重	抽筋	肌肉	0.435	0.33	0.356	0.417	0.194	0.228	0.247
男人	鬆弛	受傷	肌肉	0.435	0.372	0.435	0.254	0.163	0.214	0.249
力量	鬆弛	受傷	肌肉	0.431	0.388	0.435	0.254	0.219	0.177	0.249
健康	舉重	抽筋	肌肉	0.426	0.292	0.356	0.417	0.223	0.169	0.247
收縮	骨頭	抽筋	肌肉	0.42	0.33	0.368	0.417	0.232	0.228	0.237
發達	拉傷	健康	肌肉	0.406	0.334	0.447	0.292	0.215	0.248	0.204
發達	男人	受傷	肌肉	0.388	0.334	0.372	0.254	0.149	0.209	0.214
發達	健身	受傷	肌肉	0.373	0.334	0.44	0.254	0.246	0.209	0.202
發達	訓練	健康	肌肉	0.33	0.334	0.393	0.292	0.227	0.248	0.214
發達	健康	骨頭	肌肉	0.324	0.334	0.292	0.368	0.248	0.232	0.19
健康	結實	舉重	肌肉	0.311	0.292	0.316	0.356	0.213	0.223	0.217
發達	健康	舉重	肌肉	0.305	0.334	0.292	0.356	0.248	0.206	0.223
發達	健康	受傷	肌肉	0.195	0.334	0.292	0.254	0.248	0.209	0.229
