				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
小說	日本	趣味	漫畫	0.348	0.421	0.253	0.291	0.158	0.245	0.214
休閒	日本	血腥	漫畫	0.348	0.295	0.253	0.26	0.092	0.157	0.212
娛樂	日本	人物	漫畫	0.347	0.292	0.253	0.319	0.135	0.23	0.152
快樂	作家	黑白	漫畫	0.346	0.26	0.302	0.281	0.174	0.142	0.181
爆笑	報紙	黑白	漫畫	0.345	0.381	0.288	0.281	0.134	0.249	0.222
爆笑	黑白	藝術	漫畫	0.345	0.381	0.281	0.325	0.249	0.184	0.209
圖畫	好看	作家	漫畫	0.344	0.388	0.297	0.302	0.23	0.234	0.179
卡通	作家	血腥	漫畫	0.343	0.438	0.302	0.26	0.235	0.232	0.191
娛樂	作家	血腥	漫畫	0.341	0.292	0.302	0.26	0.169	0.154	0.191
有趣	日本	書店	漫畫	0.337	0.268	0.253	0.357	0.18	0.193	0.168
卡通	報紙	血腥	漫畫	0.335	0.438	0.288	0.26	0.231	0.232	0.188
有趣	雜誌	黑白	漫畫	0.333	0.268	0.385	0.281	0.195	0.222	0.185
日本	圖畫	黑白	漫畫	0.332	0.253	0.388	0.281	0.125	0.23	0.234
休閒	人物	黑白	漫畫	0.332	0.295	0.319	0.281	0.17	0.195	0.198
日本	趣味	報紙	漫畫	0.33	0.253	0.291	0.288	0.214	0.169	0.119
日本	雜誌	黑白	漫畫	0.329	0.253	0.385	0.281	0.175	0.23	0.185
休閒	人物	血腥	漫畫	0.328	0.295	0.319	0.26	0.17	0.157	0.22
日本	趣味	書店	漫畫	0.328	0.253	0.291	0.357	0.214	0.168	0.191
休閒	人物	好看	漫畫	0.327	0.295	0.319	0.297	0.17	0.218	0.197
日本	快樂	暴力	漫畫	0.327	0.253	0.26	0.254	0.065	0.209	0.167
好笑	黑白	藝術	漫畫	0.326	0.268	0.281	0.325	0.208	0.13	0.209
圖畫	作家	黑白	漫畫	0.322	0.388	0.302	0.281	0.234	0.234	0.181
小說	日本	暴力	漫畫	0.319	0.421	0.253	0.254	0.158	0.242	0.209
娛樂	人物	黑白	漫畫	0.318	0.292	0.319	0.281	0.23	0.146	0.198
日本	書店	暴力	漫畫	0.318	0.253	0.357	0.254	0.168	0.209	0.17
圖畫	作家	血腥	漫畫	0.316	0.388	0.302	0.26	0.234	0.21	0.191
娛樂	日本	黑白	漫畫	0.315	0.292	0.253	0.281	0.135	0.146	0.23
有趣	日本	報紙	漫畫	0.313	0.268	0.253	0.288	0.18	0.146	0.169
娛樂	日本	暴力	漫畫	0.313	0.292	0.253	0.254	0.135	0.143	0.209
書店	生動	色情	漫畫	0.312	0.357	0.26	0.355	0.229	0.241	0.19
生動	作家	黑白	漫畫	0.311	0.26	0.302	0.281	0.161	0.189	0.181
休閒	日本	黑白	漫畫	0.311	0.295	0.253	0.281	0.092	0.195	0.23
圖畫	好笑	作家	漫畫	0.308	0.388	0.268	0.302	0.201	0.234	0.214
娛樂	日本	血腥	漫畫	0.305	0.292	0.253	0.26	0.135	0.154	0.212
日本	快樂	好笑	漫畫	0.305	0.253	0.26	0.268	0.065	0.19	0.222
娛樂	人物	好看	漫畫	0.299	0.292	0.319	0.297	0.23	0.182	0.197
書店	暴力	生動	漫畫	0.294	0.357	0.254	0.26	0.17	0.229	0.179
快樂	好看	作家	漫畫	0.294	0.26	0.297	0.302	0.212	0.174	0.179
圖畫	好笑	黑白	漫畫	0.293	0.388	0.268	0.281	0.201	0.234	0.208
日本	可愛	暴力	漫畫	0.292	0.253	0.366	0.254	0.19	0.209	0.182
休閒	好笑	黑白	漫畫	0.291	0.295	0.268	0.281	0.149	0.195	0.208
可愛	人物	黑白	漫畫	0.287	0.366	0.319	0.281	0.233	0.249	0.198
有趣	日本	藝術	漫畫	0.284	0.268	0.253	0.325	0.18	0.207	0.175
休閒	爆笑	黑白	漫畫	0.284	0.295	0.381	0.281	0.23	0.195	0.249
人物	快樂	血腥	漫畫	0.281	0.319	0.26	0.26	0.117	0.22	0.223
娛樂	日本	好笑	漫畫	0.28	0.292	0.253	0.268	0.135	0.209	0.19
卡通	快樂	血腥	漫畫	0.279	0.438	0.26	0.26	0.224	0.232	0.223
娛樂	好笑	黑白	漫畫	0.278	0.292	0.268	0.281	0.209	0.146	0.208
書店	生動	血腥	漫畫	0.278	0.357	0.26	0.26	0.229	0.122	0.249
日本	快樂	血腥	漫畫	0.275	0.253	0.26	0.26	0.065	0.212	0.223
日本	報紙	好笑	漫畫	0.274	0.253	0.288	0.268	0.169	0.19	0.176
日本	人物	黑白	漫畫	0.273	0.253	0.319	0.281	0.152	0.23	0.198
娛樂	好笑	作家	漫畫	0.27	0.292	0.268	0.302	0.209	0.169	0.214
日本	報紙	生動	漫畫	0.27	0.253	0.288	0.26	0.169	0.122	0.24
有趣	書店	暴力	漫畫	0.269	0.268	0.357	0.254	0.193	0.249	0.17
娛樂	人物	血腥	漫畫	0.268	0.292	0.319	0.26	0.23	0.154	0.22
可愛	人物	血腥	漫畫	0.262	0.366	0.319	0.26	0.233	0.231	0.22
日本	暴力	生動	漫畫	0.258	0.253	0.254	0.26	0.209	0.122	0.179
娛樂	有趣	日本	漫畫	0.257	0.292	0.268	0.253	0.242	0.135	0.18
小說	有趣	暴力	漫畫	0.254	0.421	0.268	0.254	0.199	0.242	0.249
日本	生動	黑白	漫畫	0.253	0.253	0.26	0.281	0.122	0.23	0.189
日本	報紙	暴力	漫畫	0.251	0.253	0.288	0.254	0.169	0.209	0.165
有趣	報紙	暴力	漫畫	0.25	0.268	0.288	0.254	0.146	0.249	0.165
日本	人物	血腥	漫畫	0.249	0.253	0.319	0.26	0.152	0.212	0.22
有趣	報紙	黑白	漫畫	0.247	0.268	0.288	0.281	0.146	0.222	0.222
好笑	作家	黑白	漫畫	0.247	0.268	0.302	0.281	0.214	0.208	0.181
日本	可愛	血腥	漫畫	0.246	0.253	0.366	0.26	0.19	0.212	0.231
日本	黑白	藝術	漫畫	0.245	0.253	0.281	0.325	0.23	0.175	0.209
日本	爆笑	黑白	漫畫	0.242	0.253	0.381	0.281	0.194	0.23	0.249
快樂	好笑	黑白	漫畫	0.236	0.26	0.268	0.281	0.222	0.142	0.208
有趣	黑白	藝術	漫畫	0.236	0.268	0.281	0.325	0.222	0.207	0.209
日本	藝術	血腥	漫畫	0.236	0.253	0.325	0.26	0.175	0.212	0.216
快樂	作家	血腥	漫畫	0.235	0.26	0.302	0.26	0.174	0.223	0.191
娛樂	有趣	作家	漫畫	0.234	0.292	0.268	0.302	0.242	0.169	0.217
日本	報紙	血腥	漫畫	0.232	0.253	0.288	0.26	0.169	0.212	0.188
娛樂	有趣	黑白	漫畫	0.232	0.292	0.268	0.281	0.242	0.146	0.222
日本	可愛	黑白	漫畫	0.231	0.253	0.366	0.281	0.19	0.23	0.249
有趣	作家	黑白	漫畫	0.231	0.268	0.302	0.281	0.217	0.222	0.181
報紙	好笑	黑白	漫畫	0.231	0.288	0.268	0.281	0.176	0.222	0.208
生動	作家	血腥	漫畫	0.222	0.26	0.302	0.26	0.161	0.249	0.191
快樂	好笑	作家	漫畫	0.22	0.26	0.268	0.302	0.222	0.174	0.214
報紙	暴力	生動	漫畫	0.218	0.288	0.254	0.26	0.165	0.24	0.179
日本	暴力	藝術	漫畫	0.204	0.253	0.254	0.325	0.209	0.175	0.244
日本	報紙	黑白	漫畫	0.2	0.253	0.288	0.281	0.169	0.23	0.222
日本	生動	血腥	漫畫	0.191	0.253	0.26	0.26	0.122	0.212	0.249
娛樂	有趣	暴力	漫畫	0.181	0.292	0.268	0.254	0.242	0.143	0.249
報紙	生動	黑白	漫畫	0.177	0.288	0.26	0.281	0.24	0.222	0.189
日本	好笑	黑白	漫畫	0.173	0.253	0.268	0.281	0.19	0.23	0.208
有趣	日本	黑白	漫畫	0.17	0.268	0.253	0.281	0.18	0.222	0.23
有趣	暴力	藝術	漫畫	0.147	0.268	0.254	0.325	0.249	0.207	0.244
有趣	日本	暴力	漫畫	0.138	0.268	0.253	0.254	0.18	0.249	0.209
報紙	生動	血腥	漫畫	0.131	0.288	0.26	0.26	0.24	0.188	0.249
