				stand	atp1	atp2	atp3	p1tp2	p1tp3	p2tp3
卡車	辛苦	新屋	搬家	0.55	0.256	0.303	0.371	0.076	0.174	0.13
卡車	辛苦	房子	搬家	0.548	0.256	0.303	0.462	0.076	0.203	0.194
車子	桌椅	遷居	搬家	0.548	0.285	0.306	0.418	0.22	0.211	0.029
麻煩	遷離	房屋	搬家	0.548	0.266	0.298	0.376	0.152	0.048	0.193
整理	桌椅	遷居	搬家	0.547	0.292	0.306	0.418	0.246	0.193	0.029
麻煩	遷居	新屋	搬家	0.545	0.266	0.418	0.371	0.232	0.068	0.21
辛苦	車子	遷離	搬家	0.545	0.303	0.285	0.298	0.134	0.062	0.145
遷移	貨車	辛苦	搬家	0.543	0.367	0.291	0.303	0.217	0.121	0.08
辛苦	遷徙	桌椅	搬家	0.541	0.303	0.383	0.306	0.151	0.184	0.115
公司	辛苦	新屋	搬家	0.536	0.409	0.303	0.371	0.206	0.211	0.13
卡車	整理	遷居	搬家	0.536	0.256	0.292	0.418	0.08	0.157	0.193
辛苦	新屋	遷離	搬家	0.536	0.303	0.371	0.298	0.13	0.062	0.244
貨車	辛苦	新屋	搬家	0.535	0.291	0.303	0.371	0.08	0.22	0.13
麻煩	工人	遷居	搬家	0.533	0.266	0.303	0.418	0.074	0.232	0.148
卡車	遷移	新屋	搬家	0.533	0.256	0.367	0.371	0.178	0.174	0.108
卡車	桌椅	轉學	搬家	0.532	0.256	0.306	0.397	0.203	0.154	0.07
麻煩	桌椅	遷離	搬家	0.528	0.266	0.306	0.298	0.098	0.152	0.092
貨車	整理	遷離	搬家	0.525	0.291	0.292	0.298	0.13	0.103	0.124
卡車	遷移	房子	搬家	0.525	0.256	0.367	0.462	0.178	0.203	0.179
遷徙	整理	新屋	搬家	0.524	0.383	0.292	0.371	0.132	0.149	0.241
整理	桌椅	轉學	搬家	0.524	0.292	0.306	0.397	0.246	0.155	0.07
卡車	遷徙	整理	搬家	0.523	0.256	0.383	0.292	0.196	0.08	0.132
辛苦	車子	移民	搬家	0.519	0.303	0.285	0.4	0.134	0.125	0.21
卡車	辛苦	遷徙	搬家	0.518	0.256	0.303	0.383	0.076	0.196	0.151
貨車	整理	遷居	搬家	0.516	0.291	0.292	0.418	0.13	0.163	0.193
